Longitude,Latitude,FID,ObjectID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,PORT_ID,LABEL_FLAG
16.1849973771,54.1860030148,1001,1500,Koszalin,POL-KSZ,Koszalin,PL,Poland,Provincial capital,107450,5,"100,000 to 249,999",0,1
41.2920003991,39.9040020137,1002,1200,Erzurum,TUR-ERR,Erzurum,TU,Turkey,Provincial capital,420691,4,"250,000 to 499,999",0,1
8.7499984424,36.5000039744,1003,1000,Jendouba,TUN-JND,Jundubah,TS,Tunisia,Provincial capital,51408,6,"50,000 to 99,999",0,0
14.5310044222,53.4380039682,1004,1501,Szczecin,POL-SZC,Szczecin,PL,Poland,Provincial capital,407811,4,"250,000 to 499,999",28823,1
24.3829984379,45.1099979519,1005,1600,Rimnicu Vilcea,ROM-VIL,Vilcea,RO,Romania,Provincial capital,107558,5,"100,000 to 249,999",0,0
32.265999368,30.5890019752,1006,1100,Ismailia,EGY-AIM,Al Isma'iliyah,EG,Egypt,Provincial capital,284813,4,"250,000 to 499,999",48050,0
8.666703401,36.1666980412,1007,1001,Le Kef,TUN-AKA,Al Kaf,TS,Tunisia,Provincial capital,-999,7,"Less than 50,000",0,0
39.5049963127,39.7400040669,1008,1201,Erzincan,TUR-ERZ,Erzincan,TU,Turkey,Provincial capital,114027,5,"100,000 to 249,999",0,1
31.5166594072,30.5833320086,1009,1101,Zagizig,EGY-ASH,Ash Sharqiyah,EG,Egypt,Provincial capital,-999,7,"Less than 50,000",0,0
16.7450043393,53.1449999253,1010,1502,Pila,POL-PIL,Pila,PL,Poland,Provincial capital,75532,6,"50,000 to 99,999",0,1
23.2740004297,45.0449999422,1011,1601,Targu Jiu,ROM-GOR,Gorj,RO,Romania,Provincial capital,97179,6,"50,000 to 99,999",0,0
9.3833014269,36.0833040406,1012,1002,Siliana,TUN-SLY,Silyanah,TS,Tunisia,Provincial capital,26960,7,"Less than 50,000",0,0
15.2360013817,52.7360039178,1013,1503,Gorzow Wielkopolski,POL-GRZ,Gorzow,PL,Poland,Provincial capital,124430,5,"100,000 to 249,999",0,0
